Time: 2398, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.70, IMU Accel X: -0.00, IMU Accel Y: -10.03, IMU Accel Z: -0.12, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 2.40, Accel Y: 13.45, Accel Z: -4.81
Time: 2427, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.71, IMU Accel X: -0.02, IMU Accel Y: -9.97, IMU Accel Z: -0.17, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.32
Time: 2456, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.66, IMU Accel X: -0.08, IMU Accel Y: -10.03, IMU Accel Z: -0.22, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.44, Accel Y: 13.45, Accel Z: -3.84
Time: 2485, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.75, IMU Accel X: -0.08, IMU Accel Y: -10.00, IMU Accel Z: -0.16, Gyro X: 0.00, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 13.94, Accel Z: -3.36
Time: 2513, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.75, IMU Accel X: -0.07, IMU Accel Y: -9.98, IMU Accel Z: -0.13, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 2.40, Accel Y: 12.97, Accel Z: -4.32
Time: 2542, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.72, IMU Accel X: -0.08, IMU Accel Y: -10.01, IMU Accel Z: -0.23, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 2.40, Accel Y: 12.97, Accel Z: -4.32
Time: 2571, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.70, IMU Accel X: -0.08, IMU Accel Y: -10.02, IMU Accel Z: -0.25, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.32
Time: 2600, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.69, IMU Accel X: 0.03, IMU Accel Y: -10.05, IMU Accel Z: -0.13, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -4.32
Time: 2629, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.09, IMU Accel Y: -10.02, IMU Accel Z: -0.18, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 2.40, Accel Y: 13.45, Accel Z: -4.32
Time: 2658, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.69, IMU Accel X: -0.06, IMU Accel Y: -10.03, IMU Accel Z: -0.13, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 2.40, Accel Y: 12.97, Accel Z: -4.32
Time: 2687, BMP Temp: 32.15, BMP Pressure: 1006.59, BMP Altitude: 55.64, IMU Accel X: -0.03, IMU Accel Y: -10.06, IMU Accel Z: -0.21, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 2.40, Accel Y: 13.94, Accel Z: -4.32
Time: 2716, BMP Temp: 32.15, BMP Pressure: 1006.59, BMP Altitude: 55.63, IMU Accel X: 0.02, IMU Accel Y: -10.07, IMU Accel Z: -0.25, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.36
Time: 2745, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.65, IMU Accel X: 0.08, IMU Accel Y: -10.04, IMU Accel Z: -0.12, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 2.40, Accel Y: 12.97, Accel Z: -4.32
Time: 2774, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.72, IMU Accel X: -0.06, IMU Accel Y: -10.03, IMU Accel Z: -0.16, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 2.40, Accel Y: 13.45, Accel Z: -4.32
Time: 2803, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.75, IMU Accel X: -0.03, IMU Accel Y: -10.04, IMU Accel Z: -0.18, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 13.94, Accel Z: -3.84
Time: 2832, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.70, IMU Accel X: 0.02, IMU Accel Y: -10.06, IMU Accel Z: -0.14, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -3.84
Time: 2861, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.12, IMU Accel Y: -10.01, IMU Accel Z: -0.20, Gyro X: -0.00, Gyro Y: -0.00, Gyro Z: 0.00, Accel X: 2.40, Accel Y: 12.97, Accel Z: -3.84
Time: 2890, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.74, IMU Accel X: -0.07, IMU Accel Y: -10.01, IMU Accel Z: -0.11, Gyro X: -0.00, Gyro Y: -0.01, Gyro Z: 0.00, Accel X: 1.92, Accel Y: 12.97, Accel Z: -3.84
Time: 2919, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.75, IMU Accel X: -0.11, IMU Accel Y: -9.98, IMU Accel Z: -0.18, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.32
Time: 2948, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.73, IMU Accel X: -0.00, IMU Accel Y: -10.05, IMU Accel Z: -0.23, Gyro X: -0.01, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 1.92, Accel Y: 13.45, Accel Z: -3.84
Time: 2977, BMP Temp: 32.15, BMP Pressure: 1006.57, BMP Altitude: 55.79, IMU Accel X: -0.02, IMU Accel Y: -10.05, IMU Accel Z: -0.21, Gyro X: -0.00, Gyro Y: -0.00, Gyro Z: 0.01, Accel X: 1.92, Accel Y: 12.97, Accel Z: -4.32
Time: 3005, BMP Temp: 32.15, BMP Pressure: 1006.58, BMP Altitude: 55.71, IMU Accel X: -0.11, IMU Accel Y: -9.95, IMU Accel Z: -0.14, Gyro X: 0.00, Gyro Y: -0.01, Gyro Z: -0.00, Accel X: 2.40, Accel Y: 12.97, Accel Z: -3.36
